Variable name,variable representations,allowable units,exception units,preferred unit for normalization,minimum value by domain knowledge,maximum value by domain knowledge,domain knowledge source
Dosage,dosage,,TEMPORAL,,0,1000,
Zidovudine,zidovudine|azt,mg/day,,mg/day,0,1000,
Visual acuity,visual acuity|Acuity,,TEMPORAL,,0,100,
Myocardial infarction,myocardial infarction,,TEMPORAL,,0,1000,
ECOG,ecog performance status|performance status ecog|ecog,,TEMPORAL,,0,1000,
Bilirubin,serum bilirubin|bilirubin,,TEMPORAL,,0,1000,
Marrow cellularity,marrow cellularity,,TEMPORAL,,0,1000,
Ejection fraction,ejection fraction,,TEMPORAL,,0,1000,
Alpha-Fetoprotein,alphafetoprotein|alpha-Fetoprotein|AFP levels|AFP,,TEMPORAL,,0,1000,
Cholesterol,cholesterol|CHOL,,TEMPORAL,,0,1000,
Triglyceride,plasma triglycerides|serum triglyceride|triglycerides|triglyceride|ldl,mg/dl|mg,TEMPORAL,mg/dl,0,1000,
Transaminase,transaminase,,TEMPORAL,,0,1000,
Height,height|ht,m|cm|feet,ALL_OTHER,m,0,5,
Age,years of age|aged|ages|age|years old|year old|old|y.o.|y.o.,TEMPORAL,ALL_OTHER,years,0,100,
TGHB,tghb,%,TEMPORAL,,0,1000,
Testosterone,testosterone,,TEMPORAL,mg/dl,0,1000,
Ferrimann-gallway,ferrimann-gallway|ferrimann gallway,,TEMPORAL,mg/dl,0,1000,
Testosterone,testosterone,nmol/l,TEMPORAL,nmol/l,0,1000,
HB,haemoglobin concentration,g/dl,TEMPORAL,g/dl,11,19,
Induration,induration,mm,TEMPORAL,mm,0,1000,
Cd4+,cd4 cell|cd4+|cd4,cells/mm3,TEMPORAL,cells/mm3,0,1000,
Intolerance,intolerance,mg/day,TEMPORAL,mg/day,0,1000,
AIDS Dementia Complex,aids dementia complex|actg aids dementia complex staging test|aids dementia,,TEMPORAL,,0,100,
Acyclovir,oral acyclovir|acyclovir|acv,TEMPORAL,,,0,1000,
Loose stools,loose stools,,TEMPORAL,,0,10,
Weight Loss,unintentional weight loss|weight loss|body weight,,TEMPORAL,,0,100,
Weight,weighed|weighing|birth weight|weight at birth|weight|wt,grams|lb|kg,ALL_OTHER,kg,0,1000,
Diarrhea,persistent diarrhea,,TEMPORAL,,0,1000,
PCP,pneumocystis carinii pneumonia|pcp,mg,,mg,0,1000,
Retinal lesions,retinal lesions,microns,TEMPORAL,microns,0,10000,
Ibuprofen,ibuprofen,mg/day,TEMPORAL,mg/day,0,10000,
Edema,tumor-associated edema|edema,,TEMPORAL,,0,10,
Fever,fever,degrees|degree,TEMPORAL,degree,0,100,
CMV,cytomegalovirus lesion|cmv|cytomegalovirus,microns,TEMPORAL,microns,0,10000,
Lymphadenopathy,lymphadenopathy,cm,TEMPORAL,cm,0,1000,
Lymphocyte,b-lymphocyte|lymphocytes|lymphocyte,/ul|cells/mm3|percent,TEMPORAL,cells/mm3,0,10000,
Tt-helper cells,t-helper cells,,TEMPORAL,,0,10000,
Serum carotene,serum carotene,iu/ml,TEMPORAL,iu/ml,0,1000,
Vitamin,vitamin,iu/ml,TEMPORAL,iu/ml,0,1000,
HIV antigen titer,hiv antigen titer,pg,TEMPORAL,pg,0,1000,
Thrombocytopenia,thrombocytopenia,platelets/mm3,TEMPORAL,platelets/mm3,0,100000,
Trimethoprim,trimethoprim,mg/day,TEMPORAL,mg/day,0,1000,
Alcoholic,alcoholic drinks|alcoholic|alcohol intake|alcohol,%|drinks,TEMPORAL,,0,1000,
Visual field loss,visual field loss,,TEMPORAL,db,0,100,
IOP,Tonometry|pressure in the eye|intraocular pressure|iop,mm hg,TEMPORAL,mm hg,0,100,
VA,va,,TEMPORAL,,0,10,
MMSE,mini-mental state examination|mmse,,TEMPORAL,,0,1000,
ADAS,adas,,TEMPORAL,,0,1000,
DLCO,dlco,%,TEMPORAL,%,0,100,
Lung capacity,lung capacity,%,TEMPORAL,%,0,100,
Fev1,fev1,%,ALL_OTHER,%,0,100,
Fast acting bronchodilator,fast acting bronchodilator|rescue medication|quick relief medication|quick-acting Bronchodilators|Relivers,puffs/day,TEMPORAL,puffs/day,0,100,
GFR,grf,ml/min,TEMPORAL,ml/min,0,200,
H/H,H/H|hemoglobin to hematocrit,,,,,,
Glycemic control,glycemic control,TEMPORAL,,,0,1000,
Phq-9,phq-9,,TEMPORAL,,0,100,
Bariatric surgery,bariatric surgery,TEMPORAL,ALL_OTHER,,0,100,
Hypoglycemic episode,hypoglycemic episode,,TEMPORAL,,0,100,
EGFR,egfr|egfr mdrd,ml/min,TEMPORAL,,0,1000,
Myopia,Myopia|nearsighted|shortsighted,,TEMPORAL,,0,100,
Snellen,snellen,,TEMPORAL,,0,1000,
Lesion,lesion,um,TEMPORAL,um,0,10000,
T4,t4 index|t4,g/dl,TEMPORAL,g/dl,0,100,
Folate,folate,ng/ml,TEMPORAL,ng/ml,1.9,100,
B12,b12,pg/ml,TEMPORAL,pg/ml,100,10000,
Agitation symptoms,agitation symptoms,TEMPORAL,ALL_OTHER,,0,1000,
Therapy,antiretroviral therapy|acute therapy|zidovudine \(azt\) therapy|zidovudine therapy,TEMPORAL,ALL_OTHER,,0,100,
Temperature,temperature|temp,degrees c|degrees|celsius|fahrenheit|degrees f,ALL_OTHER,celsius,10,50,
Persisting,persisting,TEMPORAL,ALL_OTHER,,0,100,
Study entry,study entry|entry,TEMPORAL,ALL_OTHER,,0,100,
MVV,voluntary volume|mvv,%,TEMPORAL,%,0,100,
PO2,po2|O2PRCNTABG,,TEMPORAL,,0,1000,
Oxygen saturation,oxygen saturation|o2 sat|O2sat|SPO2,%,ALL_OTHER,%,0,100,
inferior,inferior,%,ALL_OTHER,%,0,100,
Goldmann visual field area,Goldmann visual field area|V4e white test light|V4 e white test light|v4e|goldmann perimeter|goldman perimeter,degrees,TEMPORAL,degrees,0,1000,
ERG,erg amplitude|erg,,TEMPORAL,,0,100,
White light,white light,hz,TEMPORAL,hz,0,100,
Ultraviolet light,ultraviolet light,hz,TEMPORAL,hz,0,100,
Flickering light,flickering light,hz,TEMPORAL,hz,0,100,
Oral glucocorticoids,Oral glucocorticoids,mg/d,TEMPORAL,mg/d,0,1000,
Methotrexate,methotrexate,,TEMPORAL,,0,1000,
Chest pain,Chest pain,TEMPORAL,ALL_OTHER,,0,1000,
Post-op pain,Post-op pain,,,,0,15,
Calories,calories,%|percent,TEMPORAL,%,0,100,
PEFR,pefr,%|percent,TEMPORAL,%,0,100,
Symptom code,diary symptom code|symptom code,,TEMPORAL,,0,100,
Albuterol,albuterol,puffs/day,TEMPORAL,,0,1000,
Albuterol,albuterol,puffs/day,TEMPORAL,,0,1000,
QTC,qtc,msec,TEMPORAL,,0,1000,
LVEF,lvef,%,TEMPORAL,%,0,1000,
VT or VF,vt or vf|Ventricular tachycardia|VT|ventricular fibrillation|VF,beats/min|beats,TEMPORAL,beats/min,0,1000,
Microglobulin,microglobulin,,TEMPORAL,,0,1000,
Biopsies,biopsies,,TEMPORAL|%,,0,1000,
Tumor,tumor,%,TEMPORAL,,0,1000,
WBC,wbc|White blood cell,mm^3,TEMPORAL,,0,1000,
Do2,do2,torr,TEMPORAL,,0,1000,
Neutrophil,neutrophil,cells/mm3,TEMPORAL,cells/mm3,0,10000,
ANC,Absolute neutrophil count|ANC,cells/mm3|/mm3|cells per microliter,TEMPORAL,,0,10000,
Occasions,occasions,TEMPORAL,ALL_OTHER,,0,100,
Platelets,platelets,platelets/mm3,TEMPORAL,,0,1000000,
Fio2,fio2,percent|%,TEMPORAL,,0,100,
Protein,protein,g,TEMPORAL,,0,1000,
Pregnant,pregnant,TEMPORAL,ALL_OTHER,,0,100,
Blood cell transfusion,Blood cell transfusion,TEMPORAL,ALL_OTHER,,0,100,
SERUM TRANSAMINASE,serum concentrations of hepatic transaminases|Serum Transaminase|hepatic transaminases,,TEMPORAL,,0,1000,
RNA,Ribonucleic acid|RNA,copies/ml,TEMPORAL,,0,1000,
Intercourse,sexual intercourse attempts,TEMPORAL,ALL_OTHER,,0,100,
Heart rate,supine mean heart rate|hr,beats/min|beats,TEMPORAL,beats/min,10,300,
Surgery,surgery,TEMPORAL,ALL_OTHER,,0,100,
PR,pr,msec,TEMPORAL,,0,1000,
QRS,qrs,msec,TEMPORAL,,0,1000,
Bradycardia,bradycardia,bpm,TEMPORAL,,0,1000,
Failure rate,failure rate,precent|%,TEMPORAL,,0,100,
LDL Cholesterol,LDL Cholesterol|ldl - cholesterol|LDL-Cholesterol|Low-density lipoprotein|cholesterol in ldl,,TEMPORAL,,0,1000,
Stenosis,asymptomatic stenosis|stenosis,%,TEMPORAL,%,0,100,
KBIT,kaufman brief intelligence test|kbit,,TEMPORAL,,0,300,
Apnea,apnea,,TEMPORAL,,0,1000,
Lymph node,lymph node,cm,TEMPORAL,,0,1000,
Smoking,smoking,pack years|pack-years|TEMPORAL,,,0,1000,
INR,international normalized ratio|inr,,TEMPORAL,,0,1000,
A-gst,a-gst,,,,0,1000,
Neutrophils,neutrophils,/l,TEMPORAL,,0,10000,
Massive nodes,massive nodes|massive node,cm,TEMPORAL,cm,0,1000,
Karnofsky,karnofsky,,TEMPORAL,,0,1000,
MAGE,MAGE,mmol/l,TEMPORAL,,0,1000,
Lines of treatment,lines of treatment,,TEMPORAL,,0,1000,
Tumor types,tumor types,,TEMPORAL,,0,1000,
Lines of therapy,lines of therapy,,TEMPORAL,,0,1000,
Lines of chemotherapy,lines of chemotherapy,,TEMPORAL,,0,1000,
Lines of immunotherapy,lines of immunotherapy,,TEMPORAL,,0,1000,
Lines of radiotion therapy,lines of radiotion therapy,,TEMPORAL,,0,1000,
Lines of liposomal therapy,lines of liposomal therapy,,TEMPORAL,,0,1000,
Measureable disease,measureable disease,,TEMPORAL,,0,1000,
Biopsible disease,biopsible disease,,TEMPORAL,,0,1000,
Brain metastasis,brain metastasis,,TEMPORAL,,0,1000,
Resp,Resp|respiration rate|RR,,,,0,1000,
Pulse,Pulse,,,,0,200,
"1, 25-Dihydroxyvitamin D","1, 25-Dihydroxyvitamin D|Active Vitamin D",,TEMPORAL,,,,
"1,3-Beta-D-Glucan","1,3-Beta-D-Glucan",,TEMPORAL,,,,
"1,5-Anhydroglucitol","1,5-Anhydroglucitol",,TEMPORAL,,,,
11-Dehydro-Thromboxane B2,11-Dehydro-Thromboxane B2,,TEMPORAL,,,,
11-Nor-Delta9-THC-9-Carboxylic Acid,11-Nor-Delta9-THC-9-Carboxylic Acid|THC-COOH,,TEMPORAL,,,,
25-Hydroxyvitamin D,25-Hydroxyvitamin D|Inactive Vitamin D|VITAMIN D 25-HYDROXY,,TEMPORAL,,,,
"3,4-Dihydroxyphenylacetic Acid","3,4-Dihydroxyphenylacetic Acid",,TEMPORAL,,,,
"3,4-Dihydroxyphenylglycol","3,4-Dihydroxyphenylglycol|3.4 Dihydroxyphenylglycol",,TEMPORAL,,,,
"3,4-methylenedioxymethamphetamine","3,4-methylenedioxymethamphetamine|Ecstasy",,TEMPORAL,,,,
5 Prime Nucleotidase,5 Prime Nucleotidase|5'-Ribonucleotide Phosphohydrolase,,TEMPORAL,,,,
5-Hydroxyindoleacetic Acid,5-Hydroxyindoleacetic Acid,,TEMPORAL,,,,
6-Monoacetylmorphine,6-Monoacetylmorphine,,TEMPORAL,,,,
8-Iso-PGF2alpha/Creatinine,8-Iso-PGF2alpha/Creatinine,,TEMPORAL,,,,
8-Iso-Prostaglandin F2 Alpha,8-Iso-Prostaglandin F2 Alpha,,TEMPORAL,,,,
A Fetoprotein L3/A Fetoprotein,A Fetoprotein L3/A Fetoprotein,,TEMPORAL,,,,
A Proliferation-Inducing Ligand,A Proliferation-Inducing Ligand|CD256|TNFSF13|Tumor Necrosis Factor Ligand Superfamily Member 13,,TEMPORAL,,,,
A. fumigatus Antigen IgE Antibody,A. fumigatus Antigen IgE Antibody,,TEMPORAL,,,,
A. fumigatus Antigen IgG Antibody,A. fumigatus Antigen IgG Antibody,,TEMPORAL,,,,
A. tenuis alternata Antigen IgA AB,A. tenuis alternata Antigen IgA AB,,TEMPORAL,,,,
A. tenuis alternata Antigen IgE AB,A. tenuis alternata Antigen IgE AB,,TEMPORAL,,,,
A. tenuis alternata Antigen IgG AB,A. tenuis alternata Antigen IgG AB,,TEMPORAL,,,,
A. tenuis alternata Antigen IgG4 AB,A. tenuis alternata Antigen IgG4 AB,,TEMPORAL,,,,
Abnormal Cells,Abnormal Cells,,TEMPORAL,,,,
ABO A1 Subtype,ABO A1 Subtype,,TEMPORAL,,,,
ABO Blood Group,ABO Blood Group,,TEMPORAL,,,,
Acanthocytes,Acanthocytes,,TEMPORAL,,,,
Acanthocytes/Erythrocytes,Acanthocytes/Erythrocytes,,TEMPORAL,,,,
Acetaminophen,Acetaminophen|Paracetamol,,TEMPORAL,,,,
Acetoacetic Acid,Acetoacetate|Acetoacetic Acid,,TEMPORAL,,,,
Acetylcholine,Acetylcholine,,TEMPORAL,,,,
Acetylcholine Receptor Antibody,Acetylcholine Receptor Antibody,,TEMPORAL,,,,
Acetylcholinesterase,Acetylcholinesterase,,TEMPORAL,,,,
Acid Phosphatase,Acid Phosphatase,,TEMPORAL,,,,
Acid Urate Crystals,Acid Urate Crystals,,TEMPORAL,,,,
Activated Coagulation Time,Activated Clotting Time|Activated Coagulation Time,,TEMPORAL,,,,
Activated Partial Thromboplastin Time,Activated Partial Thromboplastin Time,,TEMPORAL,,,,
Activated Protein C Resistance,Activated Protein C Resistance|Factor V Leiden Screen,,TEMPORAL,,,,
Activated PTT/Standard,Activated PTT/Standard|Activated PTT/Standard PTT|Activated Partial Thromboplastin Time/Standard Thromboplastin Time,,TEMPORAL,,,,
Active Ghrelin,Active Ghrelin,,TEMPORAL,,,,
Acyl Coenzyme A Oxidase,Acyl CoA Oxidase|Acyl Coenzyme A Oxidase|Fatty Acyl Coenzyme A Oxidase,,TEMPORAL,,,,
Adenosine Diphosphate,Adenosine Diphosphate,,TEMPORAL,,,,
Adenovirus Antibody,Adenovirus Antibody,,TEMPORAL,,,,
Adiponectin,Adiponectin,,TEMPORAL,,,,
"Adiponectin, High Molecular Weight","Adiponectin, High Molecular Weight",,TEMPORAL,,,,
Adrenocorticotropic Hormone,Adrenocorticotropic Hormone,,TEMPORAL,,,,
Aggrecan Chondroitin Sulfate Epitope 846,846-Epitope|Aggrecan Chondroitin Sulfate Epitope 846|CS846|Chondroitin Sulfate Epitope 846|Chondroitin Sulfate Proteoglycan 1 Epitope 846,,TEMPORAL,,,,
Agranular Neutrophils,Agranular Neutrophils,,TEMPORAL,,,,
Alanine,Alanine,,TEMPORAL,,,,
Alanine Aminopeptidase,Alanine Aminopeptidase,,TEMPORAL,,,,
Alanine Aminotransferase,Alanine Aminotransferase|SGPT|ALT,iu/l,TEMPORAL,iu/l,0,1000,
Albumin,Albumin|Microalbumin,,TEMPORAL,,,,
Albumin Excretion Rate,Albumin Excretion Rate,,TEMPORAL,,,,
Albumin/Creatinine,Albumin/Creatinine|Microalbumin/Creatinine Ratio,,TEMPORAL,,,,
Albumin/Globulin,Albumin/Globulin|A/G ratio|A/G,,TEMPORAL,,,,
Albumin/Total Protein,Albumin/Total Protein,,TEMPORAL,,,,
Aldolase,Aldolase,,TEMPORAL,,,,
Aldosterone,Aldosterone,,TEMPORAL,,,,
Aldosterone/Renin Activity,Aldosterone/Renin Activity,,TEMPORAL,,,,
Alkaline Phosphatase,Alkaline Phosphatase|ALP|ALKPHOS,,TEMPORAL,,,,
Alkaline Phosphatase Isoenzyme,Alkaline Phosphatase Isoenzyme,,TEMPORAL,,,,
Alkaline Phosphatase/Creatinine,Alkaline Phosphatase/Creatinine,,TEMPORAL,,,,
Alpha Fetoprotein,Alpha Fetoprotein,,TEMPORAL,,,,
Alpha Fetoprotein Activity,Alpha Fetoprotein Activity,,TEMPORAL,,,,
Alpha Fetoprotein L1,Alpha Fetoprotein L1,,TEMPORAL,,,,
Alpha Fetoprotein L2,Alpha Fetoprotein L2,,TEMPORAL,,,,
Alpha Fetoprotein L3,Alpha Fetoprotein L3,,TEMPORAL,,,,
Alpha Glutathione-S-Transferase,Alpha Glutathione-S-Transferase,,TEMPORAL,,,,
Alpha Hydroxybutyrate Dehydrogenase,Alpha Hydroxybutyrate Dehydrogenase,,TEMPORAL,,,,
Alpha Synuclein Protein,Alpha Synuclein Protein,,TEMPORAL,,,,
Alpha Tocopherol,Alpha Tocopherol,,TEMPORAL,,,,
Alpha Tocopherol/Vitamin E,Alpha Tocopherol/Vitamin E,,TEMPORAL,,,,
Alpha-1 Acid Glycoprotein,Alpha-1 Acid Glycoprotein,,TEMPORAL,,,,
Alpha-1 Antitrypsin,Alpha-1 Antitrypsin|Serum Trypsin Inhibitor,,TEMPORAL,,,,
Alpha-1 Globulin,A1-Globulin|Alpha-1 Globulin,,TEMPORAL,,,,
Alpha-1 Globulin/Total Protein,Alpha-1 Globulin/Total Protein,,TEMPORAL,,,,
Alpha-1 Microglobulin,Alpha-1 Microglobulin|Protein HC,,TEMPORAL,,,,
Alpha-1 Microglobulin/Creatinine,Alpha-1 Microglobulin/Creatinine,,TEMPORAL,,,,
Alpha-2 Antiplasmin,Alpha-2 Antiplasmin|Alpha-2 Plasmin Inhibitor,,TEMPORAL,,,,
Alpha-2 Antiplasmin Activity,Alpha-2 Antiplasmin Activity,,TEMPORAL,,,,
Alpha-2 Globulin,A2-Globulin|Alpha-2 Globulin,,TEMPORAL,,,,
Alpha-2 Globulin/Total Protein,Alpha-2 Globulin/Total Protein,,TEMPORAL,,,,
Alpha-2 Macroglobulin,Alpha-2 Macroglobulin,,TEMPORAL,,,,
Alpha-GST Excretion Rate,Alpha-GST Excretion Rate,,TEMPORAL,,,,
Alpha-Methylacyl Coenzyme A Racemase,Alpha-Methylacyl Coenzyme A Racemase,,TEMPORAL,,,,
Alprazolam,Alprazolam,,TEMPORAL,,,,
ALT/AST,ALT/AST,,TEMPORAL,,,,
Aluminum,Al|Aluminum,,TEMPORAL,,,,
AMACR mRNA,AMACR mRNA,,TEMPORAL,,,,
American Cockroach Antigen IgA Antibody,American Cockroach Antigen IgA Antibody,,TEMPORAL,,,,
American Cockroach Antigen IgE Antibody,American Cockroach Antigen IgE Antibody,,TEMPORAL,,,,
American Cockroach Antigen IgG Antibody,American Cockroach Antigen IgG Antibody,,TEMPORAL,,,,
American Cockroach Antigen IgG4 Antibody,American Cockroach Antigen IgG4 Antibody,,TEMPORAL,,,,
Ammonia,Ammonia|NH3,,TEMPORAL,,,,
Ammonium Biurate Crystals,Acid Ammonium Urate Crystals|Ammonium Biurate Crystals|Ammonium Urate Crystals,,TEMPORAL,,,,
Ammonium Oxalate Crystals,Ammonium Oxalate Crystals,,TEMPORAL,,,,
Amorphous Crystals,Amorphous Crystals,,TEMPORAL,,,,
Amorphous Phosphate Crystals,Amorphous Phosphate Crystals,,TEMPORAL,,,,
Amorphous Sediment,Amorphous Debris|Amorphous Sediment,,TEMPORAL,,,,
Amorphous Urate Crystals,Amorphous Urate Crystals,,TEMPORAL,,,,
Amphetamine,Amphetamine,,TEMPORAL,,,,
Amylase,Amylase,,TEMPORAL,,,,
"Amylase, Pancreatic","Amylase, Pancreatic",,TEMPORAL,,,,
"Amylase, Salivary","Amylase, Salivary",,TEMPORAL,,,,
Amyloid A,Amyloid A|Serum Amyloid A,,TEMPORAL,,,,
Amyloid Alpha Precursor Protein,Amyloid Alpha Precursor Protein,,TEMPORAL,,,,
Amyloid Beta 1-38,Amyloid Beta 1-38|Amyloid Beta 38|Amyloid Beta 38 Protein,,TEMPORAL,,,,
Amyloid Beta 1-40,Amyloid Beta 1-40|Amyloid Beta 40|Amyloid Beta 40 Protein,,TEMPORAL,,,,
Amyloid Beta 1-42,Amyloid Beta 1-42|Amyloid Beta 42|Amyloid Beta 42 Protein,,TEMPORAL,,,,
Amyloid Beta Precursor Protein,Amyloid Beta Precursor|Amyloid Beta Precursor Protein|Amyloid Precursor Beta|Amyloid Precursor Protein,,TEMPORAL,,,,
Amyloid P,Amyloid P,,TEMPORAL,,,,
"Amyloid, Beta","Amyloid, Beta|Beta Amyloid",,TEMPORAL,,,,
Androstenediol,Androstenediol,,TEMPORAL,,,,
Androstenedione,4-Androstenedione|Androstenedione,,TEMPORAL,,,,
Angiopoietin 1,Angiopoietin 1,,TEMPORAL,,,,
Angiotensin Converting Enzyme,Angiotensin Converting Enzyme,,TEMPORAL,,,,
Angiotensin I,Angiotensin I,,TEMPORAL,,,,
Angiotensin II,Angiotensin II,,TEMPORAL,,,,
Angiotensinogen,Angiotensin Precursor|Angiotensinogen,,TEMPORAL,,,,
Animal Mix Antigen IgE Antibody,Animal Mix Antigen IgE Antibody,,TEMPORAL,,,,
Animal Mix Antigen IgG Antibody,Animal Mix Antigen IgG Antibody,,TEMPORAL,,,,
Anion Gap,Anion Gap,,TEMPORAL,,,,
Anisocytes,Anisocytes|Anisocytosis,,TEMPORAL,,,,
Anti-DNA Antibodies,Anti-DNA Antibodies|Anti-ds-DNA Antibodies,,TEMPORAL,,,,
Anti-Double Stranded DNA,Anti-Double Stranded DNA,,TEMPORAL,,,,
Anti-Factor Xa Activity,Anti-Factor Xa Activity,,TEMPORAL,,,,
Anti-Mullerian Hormone,Anti-Mullerian Hormone,,TEMPORAL,,,,
Anti-Neutrophil Cytoplasmic Antibody,Anti-Neutrophil Cytoplasmic Antibody,,TEMPORAL,,,,
Anti-Nucleosome Antibody,Anti-Nucleosome Antibody,,TEMPORAL,,,,
Anti-Phospholipid IgG Antibody,Anti-Phospholipid IgG Antibody,,TEMPORAL,,,,
Anti-Phospholipid IgM Antibody,Anti-Phospholipid IgM Antibody,,TEMPORAL,,,,
Anti-Saccharomyces cerevisiae Antibody,Anti-Saccharomyces cerevisiae Antibody,,TEMPORAL,,,,
Anti-Single Stranded DNA IgG,Anti-Single Stranded DNA IgG,,TEMPORAL,,,,
Antidepressants,Antidepressants,,TEMPORAL,,,,
Antidiuretic Hormone,Antidiuretic Hormone|Vasopressin,,TEMPORAL,,,,
"Antiglobulin Test, Direct","Antiglobulin Test, Direct|Direct Coombs Test",,TEMPORAL,,,,
"Antiglobulin Test, Indirect","Antiglobulin Test, Indirect|Indirect Coombs Test",,TEMPORAL,,,,
Antimitochondrial Antibodies,Antimitochondrial Antibodies|Mitochondrial Antibody,,TEMPORAL,,,,
Antinuclear Antibodies,Antinuclear Antibodies,,TEMPORAL,,,,
Antinuclear IgG Antibody,Antinuclear IgG Antibody,,TEMPORAL,,,,
Antiphospholipid Antibodies,Antiphospholipid Antibodies,,TEMPORAL,,,,
Antithrombin,Antithrombin|Antithrombin Activity|Antithrombin III|Antithrombin III Activity,,TEMPORAL,,,,
Antithrombin Antigen,Antithrombin Antigen|Antithrombin III Antigen,,TEMPORAL,,,,
Apolipoprotein A,Apolipoprotein A,,TEMPORAL,,,,
Apolipoprotein A1,Apolipoprotein A1,,TEMPORAL,,,,
Apolipoprotein A4,Apolipoprotein A4,,TEMPORAL,,,,
Apolipoprotein A5,Apolipoprotein A5,,TEMPORAL,,,,
Apolipoprotein AII,Apolipoprotein AII,,TEMPORAL,,,,
Apolipoprotein B,Apolipoprotein B,,TEMPORAL,,,,
Apolipoprotein B/Apolipoprotein A1,Apolipoprotein B/Apolipoprotein A1,,TEMPORAL,,,,
Apolipoprotein B100,Apolipoprotein B100,,TEMPORAL,,,,
Apolipoprotein B48,Apolipoprotein B48,,TEMPORAL,,,,
Apolipoprotein C2,Apolipoprotein C2|Apolipoprotein CII,,TEMPORAL,,,,
Apolipoprotein CI,Apolipoprotein CI,,TEMPORAL,,,,
Apolipoprotein CIII,Apolipoprotein CIII,,TEMPORAL,,,,
Apolipoprotein E,Apolipoprotein E,,TEMPORAL,,,,
Apolipoprotein E4,Apolipoprotein E4,,TEMPORAL,,,,
Apolipoprotein H,Apolipoprotein H,,TEMPORAL,,,,
Apolipoprotein J,Apolipoprotein J|Clusterin,,TEMPORAL,,,,
Apolipoprotein J/Creatinine,Apolipoprotein J/Creatinine|Clusterin/Creatinine,,TEMPORAL,,,,
Arachidonic Acid,Arachidonic Acid,,TEMPORAL,,,,
Arginine,Arginine,,TEMPORAL,,,,
Asparagine,Asparagine,,TEMPORAL,,,,
Aspartate Aminotransferase,Aspartate Aminotransferase|SGOT|AST,u/l,TEMPORAL,u/l,0,1000,
Aspartate Aminotransferase Antigen,Aspartate Aminotransferase Antigen|SGOT Antigen,,TEMPORAL,,,,
Aspartate Aminotransferase/Creatinine,Aspartate Aminotransferase/Creatinine,,TEMPORAL,,,,
Aspartic Acid,Aspartate|Aspartic Acid,,TEMPORAL,,,,
Atrial Natriuretic Peptide,Atrial Natriuretic Peptide|Atriopeptin,,TEMPORAL,,,,
Auer Rods,Auer Rods,,TEMPORAL,,,,
Azurophilic Granules,Azurophilic Granulation|Azurophilic Granules,,TEMPORAL,,,,
B-Cell Activating Factor,B-Cell Activating Factor,,TEMPORAL,,,,
