prescribed medications,prescribed medications
urine creatinine,urine creatinine level finding
eosinophil count,eosinophil count result
range of motion,range of motion
antibody titer,antibody titer measurement
end diastolic,end diastolic
cholesterol level,cholesterol measurement test
color,color
prior anthracycline,prior anthracycline therapy
qrs interval,qrs interval function
serum lipase,serum lipase level result
potassium level,finding of potassium level
residual urine,residual urine
blood glucose levels,finding of blood glucose level
reticulocyte count,reticulocyte count result
urine volume,urine volume function
bone density,bone density
q wave,q wave
history of coronary artery disease,personal history of coronary artery disease
over the counter medications,over the counter medications
ac,cyclophosphamide/doxorubicin protocol
age at diagnosis,age at diagnosis
ix,ix
urine albumin,urine albumin level
total protein,total protein result
biomarker,biological markers
albumin creatinine ratio,albumin to creatinine protein ratio measurement
hormone level,finding of hormone level
guidance,advice
nih stroke scale,nih stroke scale
plasma glucose level,plasma glucose result
positive skin test,positive skin test
pool,environmental pool
airway pressure,pressure.airway
cholesterol levels,cholesterol measurement test
ferritin level,ferritin level
bd,bangladesh
serum calcium level,serum calcium level
clearance rate,metabolic clearance rate
serum albumin level,serum albumin level
susceptibility,disease susceptibility
therapeutic range,within therapeutic range
axial length,axial length
wall motion,wall motion
response to treatment,response to treatment
mononuclear,mononuclear
medication dose,medication dose
environment,environment
pain severity,pain severity
bone mass,bone mineral density test
random blood glucose,random blood glucose measurement
hormone levels,finding of hormone level
cardiac status,cardiac status
qrs complex,qrs complex
successful treatment,response to treatment
positive ppd,positive tuberculin
fasting blood glucose level,fasting blood sugar result
haemoglobin level,dipstick assessment of hemoglobin concentration
false positive,false positive
endurance,endurance
partum,partum
history of neoplastic disease,history of neoplastic disease
serum bilirubin level,finding of serum bilirubin level
biomarkers,biological markers
positive hcg,hcg positive
karyotypes,karyotype determination procedure
end-diastolic,end diastolic
trigger,precipitating factors
serum potassium level,serum potassium result
arterial oxygen saturation,arterial oxygen saturation measurement
who smokes,who smokes
positive blood culture,blood culture positive
q waves,electrocardiogram q waves test
haematocrit,hematocrit level
antibody positive,antibody positive
normal body weight,ideal body weight
body fat,body fat
positive drug screen,drug screen positive
platelet aggregation,platelet aggregation
haemoglobin concentration,finding of hemoglobin concentration
systolic arterial pressure,systolic pressure
negative pregnancy tests,pregnancy test negative
susceptible,susceptible
serum bicarbonate,serum bicarbonate level result
protein level,protein level
planned procedure,planned procedure
calcium intake,calcium intake
exercise tolerance,exercise tolerance
long axis,long axis
body mass index bmi,body mass index (bmi)
plateau,plateau
duration of illness,duration of illness
ers,enamel-renal syndrome
cardiac rhythm,cardiac rhythm
tcd,chad
hbeag positive,hbeag positive
antibody negative,antibody (non-specific) negative
laboratory result,laboratory results
no proteinuria,no proteinuria
calcium levels,calcium level result
symptoms score,symptoms score
seminal,seminal
pupil size,pupil size
predisposition,predisposition
dna index,dna index
td,trends qualifier
pressure systolic,systolic pressure
pain duration,pain duration
usual body weight,usual body weight
enzyme levels,finding of enzyme level
oxygen consumption,oxygen consumption
estrogen receptor positive,estrogen receptor positive
during surgery,during surgery
smoking status,smoking status
serum alpha-fetoprotein,alpha-1-fetoprotein measurement serum
electroencephalogram,electroencephalogram
hypernatremia,hypernatremia
immunocompetent,immunocompetent
quetelet index,body mass index procedure
hematocrit level,hematocrit level
central venous pressure,central venous pressure
disposition,disposition
random blood sugar,random blood glucose level result
skin test reaction,finding related to response to skin test
iron stores,iron stores result
cardiac output,cardiac output
breslow,breslow thickness
cortisol level,cortisol level
antibody titers,antibody titer measurement
sodium level,finding of sodium level
gingival index,gingival index
mar,morocco
alkaline phosphatase level,alkaline phosphatase level
sperm concentration,sperm density result
positive tuberculin,positive tuberculin
lactate level,lactate level result
prior hormone therapy,prior hormone therapy
blood sugar level,blood glucose measurement
albumin excretion rate,albumin excretion rate measurement
origins,national origin
albumin concentration,albumin concentration
ferritin levels,ferritin level
protein intake,protein intake
prior anthracycline therapy,prior anthracycline therapy
lansky play score,lansky play-performance status
negative ppd,negative ppd
serum glucose level,serum glucose level
diastole,diastole
tunneled,tunnelled
calcium creatinine,calcium/creatinine
progesterone receptor positive,progesterone receptor positive
standing blood pressure,standing blood pressure
bleeding time,bleeding time result
prolactin level,prolactin level result
pulmonary artery wedge pressure,pulmonary wedge pressure
serum globulin,globulins
fluid intake,fluid intake
alpha-fetoprotein level,alpha-fetoprotein level
breast density,breast density
negative hiv test,hiv test negative
hematocrit levels,hematocrit level
obstructive uropathy,obstructive uropathy
sigmoidoscopy or colonoscopy,sigmoidoscopy or colonoscopy
agranulocytosis,agranulocytosis
positive ana,antinuclear antibody present
corrected serum calcium level,corrected serum calcium level
performance status 1,performance status 1
spf,sun protection factor
iron saturation,iron saturation attribute
time of delivery,time of delivery
deep tendon reflexes,deep tendon reflex
skin reaction,skin reaction
walking speed,walking speed
purulence,purulence
hepatitis b surface antigen positive,hepatitis b positive sa
clinical setting,clinical setting
serum sodium level,serum sodium level
visual acuities,visual acuity
erythropoietin level,erythropoietin measurement
liver enzyme levels,finding of liver enzyme levels
c-reactive protein level,c-reactive protein level
abdominal circumference,abdominal circumference
insulin level,insulin measurement
serum alpha fetoprotein,serum alpha-fetoprotein (afp) measurement
dp,dp
enzyme level,finding of enzyme level
creatinine serum,serum creatinine level
lansky play-performance scale,lansky play-performance status
fibrinogen level,fibrinogen level result
urinary output,urine volume function
tibc,serum total iron-binding capacity result
stable hemoglobin,stable hemoglobin
m-spike,m-spike
protein concentration,protein concentration test strip measurement
prior adjuvant immunotherapy,prior adjuvant immunotherapy
ammonia level,ammonia level finding
serum insulin,serum insulin measurement
peak flow rate,peak flow rate
positive end expiratory pressure,pressure.positive end expiratory
blood type,blood types
head circumference,head circumference
grip strength,grip strength
resistance index,resistance.index
left axis deviation,ekg left axis deviation
osmolality,osmolality
viscosity,viscosity
albumin levels,albumin level
crm,circumferential resection margin
urinary volume,urine volume finding
drug levels,drug measurement
red blood cell count,red blood cell count measurement
cylinder axis,cylinder axis
severity of symptoms,severity of symptoms
breslow thickness,breslow thickness
fundal height,fundal height
bp systolic,systolic pressure
pap result,prostatic acid phosphatase level result
cup-disc ratio,cup-disc ratio
st deviation,st deviation
clinical impression,clinical impression
serum progesterone,serum progesterone level result
fractional flow reserve,fractional flow reserve of vessel
progesterone level,progesterone levels
cardiac biomarkers,cardiac biomarkers
anxiety score,anxiety score
positive antibody,antibody positive
zubrod performance status 0,zubrod performance status 0
exercise duration,exercise duration
accommodation,accommodation
factor viii level,factor viii level
vitamin b12 level,finding of vitamin b12 level
pregnancy test results,pregnancy test result
blood sugar levels,blood glucose measurement
clotting time,clotting time
mbl,mbl2 gene
within therapeutic range,within therapeutic range
attachment level,attachment level
metabolic rate,metabolic rate
ankle-brachial pressure index,ankle brachial index
prognostic factor,prognostic factor
respiration rate,respiration rate
acceleration,acceleration
monocyte count,monocyte count result
urine calcium creatinine ratio,urine calcium/creatinine ratio
gleason pattern,gleason pattern
labeling index,plasma cell labeling index
inspiratory flow,inspiratory flow
digoxin level,digoxin measurement
